Year,Ceremony,Award,Winner,Name,Film
1943,16,Music (Scoring of a Musical Picture),0,Star Spangled Rhythm ,Robert Emmett Dolan
1943,16,Music (Scoring of a Musical Picture),1,This Is the Army ,Ray Heindorf
1943,16,Music (Scoring of a Musical Picture),0,Thousands Cheer ,Herbert Stothart
1943,16,Music (Song),0,"""A Change Of Heart"" from Hit Parade of 1943",Music by Jule Styne; Lyrics by Harold Adamson
1943,16,Music (Song),0,"""Happiness Is A Thing Called Joe"" from Cabin in the Sky",Music by Harold Arlen; Lyrics by E. Y. Harburg
1943,16,Music (Song),0,"""My Shining Hour"" from The Sky's the Limit",Music by Harold Arlen; Lyrics by Johnny Mercer
1943,16,Music (Song),0,"""Saludos Amigos"" from Saludos Amigos",Music by Charles Wolcott; Lyrics by Ned Washington
1943,16,Music (Song),0,"""Say A Pray'r For The Boys Over There"" from Hers to Hold",Music by Jimmy McHugh; Lyrics by Herb Magidson
1943,16,Music (Song),0,"""That Old Black Magic"" from Star Spangled Rhythm",Music by Harold Arlen; Lyrics by Johnny Mercer
1943,16,Music (Song),0,"""They're Either Too Young Or Too Old"" from Thank Your Lucky Stars",Music by Arthur Schwartz; Lyrics by Frank Loesser
1943,16,Music (Song),0,"""We Mustn't Say Goodbye"" from Stage Door Canteen",Music by James Monaco; Lyrics by Al Dubin
1943,16,Music (Song),0,"""You'd Be So Nice To Come Home To"" from Something to Shout About",Music and Lyrics by Cole Porter
1943,16,Music (Song),1,"""You'll Never Know"" from Hello, Frisco, Hello",Music by Harry Warren; Lyrics by Mack Gordon
1943,16,Outstanding Motion Picture,1,Casablanca ,Warner Brothers
1943,16,Outstanding Motion Picture,0,For Whom the Bell Tolls ,Paramount
1943,16,Outstanding Motion Picture,0,Heaven Can Wait ,20th Century-Fox
1943,16,Outstanding Motion Picture,0,The Human Comedy ,Metro-Goldwyn-Mayer
1943,16,Outstanding Motion Picture,0,In Which We Serve ,Two Cities
1943,16,Outstanding Motion Picture,0,Madame Curie ,Metro-Goldwyn-Mayer
1943,16,Outstanding Motion Picture,0,The More the Merrier ,Columbia
1943,16,Outstanding Motion Picture,0,The Ox-Bow Incident ,20th Century-Fox
1943,16,Outstanding Motion Picture,0,The Song of Bernadette ,20th Century-Fox
1943,16,Outstanding Motion Picture,0,Watch on the Rhine ,Warner Brothers
1943,16,Short Subject (Cartoon),0,The Dizzy Acrobat ,"Walter Lantz, Producer"
1943,16,Short Subject (Cartoon),0,The 500 Hats of Bartholomew Cubbins ,"George Pal, Producer"
1943,16,Short Subject (Cartoon),0,Greetings Bait! ,"Leon Schlesinger, Producer"
1943,16,Short Subject (Cartoon),0,Imagination ,"Dave Fleischer, Producer"
1943,16,Short Subject (Cartoon),0,Reason and Emotion ,"Walt Disney, Producer"
1943,16,Short Subject (Cartoon),1,Yankee Doodle Mouse ,"Frederick Quimby, Producer"
1943,16,Short Subject (One Reel),1,Amphibious Fighters ,"Grantland Rice, Producer"
1943,16,Short Subject (One Reel),0,Cavalcade of Dance with Veloz and Yolanda ,"Gordon Hollingshead, Producer"
1943,16,Short Subject (One Reel),0,Champions Carry On ,"Edmund Reek, Producer"
1943,16,Short Subject (One Reel),0,Hollywood in Uniform ,"Ralph Staub, Producer"
1943,16,Short Subject (One Reel),0,Seeing Hands ,"Pete Smith, Producer"
1943,16,Short Subject (Two Reel),1,Heavenly Music ,"Jerry Bresler and Sam Coslow, Producers"
1943,16,Short Subject (Two Reel),0,Letter to a Hero ,"Frederic Ullman, Jr., Producer"
1943,16,Short Subject (Two Reel),0,Mardi Gras ,"Walter MacEwen, Producer"
1943,16,Short Subject (Two Reel),0,Women at War ,"Gordon Hollingshead, Producer"
1943,16,Sound Recording,0,Hangmen Also Die ,"Sound Service, Inc., Jack Whitney, Sound Director"
1943,16,Sound Recording,0,In Old Oklahoma ,"Republic Studio Sound Department, Daniel J. Bloomberg, Sound Director"
1943,16,Sound Recording,0,Madame Curie ,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
1943,16,Sound Recording,0,The North Star ,"Samuel Goldwyn Studio Sound Department, Thomas T. Moulton, Sound Director"
1943,16,Sound Recording,0,Phantom of the Opera ,"Universal Studio Sound Department, Bernard B. Brown, Sound Director"
1943,16,Sound Recording,0,Riding High ,"Paramount Studio Sound Department, Loren L. Ryder, Sound Director"
1943,16,Sound Recording,0,Sahara ,"Columbia Studio Sound Department, John Livadary, Sound Director"
1943,16,Sound Recording,0,Saludos Amigos ,"Walt Disney Studio Sound Department, C. O. Slyfield, Sound Director"
1943,16,Sound Recording,0,So This Is Washington ,"RCA Sound, J. L. Fields, Sound Director"
1943,16,Sound Recording,0,The Song of Bernadette ,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director"
1943,16,Sound Recording,0,This Is the Army ,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director"
1943,16,Sound Recording,1,This Land Is Mine ,"RKO Radio Studio Sound Department, Stephen Dunn, Sound Director"
1943,16,Special Effects,0,Air Force ,"Photographic Effects by Hans Koenekamp, Rex Wimpy; Sound Effects by Nathan Levinson"
1943,16,Special Effects,0,Bombardier ,"Photographic Effects by Vernon L. Walker; Sound Effects by James G. Stewart, Roy Granville"
1943,16,Special Effects,1,Crash Dive ,Photographic Effects by Fred Sersen; Sound Effects by Roger Heman
1943,16,Special Effects,0,The North Star ,"Photographic Effects by Clarence Slifer, R. O. Binger; Sound Effects by Thomas T. Moulton"
1943,16,Special Effects,0,So Proudly We Hail! ,"Photographic Effects by Gordon Jennings, Farciot Edouart; Sound Effects by George Dutton"
1943,16,Special Effects,0,Stand By for Action ,"Photographic Effects by A. Arnold Gillespie, Donald Jahraus; Sound Effects by Michael Steinore"
1943,16,Writing (Original Motion Picture Story),0,Action in the North Atlantic ,Guy Gilpatric
1943,16,Writing (Original Motion Picture Story),0,Destination Tokyo ,Steve Fisher
1943,16,Writing (Original Motion Picture Story),1,The Human Comedy ,William Saroyan
1943,16,Writing (Original Motion Picture Story),0,The More the Merrier ,"Robert Russell, Frank Ross"
1943,16,Writing (Original Motion Picture Story),0,Shadow of a Doubt ,Gordon McDonell
1943,16,Writing (Original Screenplay),0,Air Force ,Dudley Nichols
1943,16,Writing (Original Screenplay),0,In Which We Serve ,Noel Coward
1943,16,Writing (Original Screenplay),0,The North Star ,Lillian Hellman
1943,16,Writing (Original Screenplay),1,Princess O'Rourke ,Norman Krasna
1943,16,Writing (Original Screenplay),0,So Proudly We Hail! ,Allan Scott
1943,16,Writing (Screenplay),1,Casablanca ,"Julius J. Epstein, Philip G. Epstein, Howard Koch"
1943,16,Writing (Screenplay),0,Holy Matrimony ,Nunnally Johnson
1943,16,Writing (Screenplay),0,The More the Merrier ,"Robert Russell, Frank Ross, Richard Flournoy, Lewis R. Foster"
1943,16,Writing (Screenplay),0,The Song of Bernadette ,George Seaton
1943,16,Writing (Screenplay),0,Watch on the Rhine ,Dashiell Hammett
1943,16,Special Award,1,George Pal,
1943,16,Irving G. Thalberg Memorial Award,1,Hal B. Wallis,
1944,17,Actor,0,Charles Boyer,Gaslight
1944,17,Actor,1,Bing Crosby,Going My Way
1944,17,Actor,0,Barry Fitzgerald,Going My Way
1944,17,Actor,0,Cary Grant,None but the Lonely Heart
1944,17,Actor,0,Alexander Knox,Wilson
1944,17,Actor in a Supporting Role,0,Hume Cronyn,The Seventh Cross
1944,17,Actor in a Supporting Role,1,Barry Fitzgerald,Going My Way
1944,17,Actor in a Supporting Role,0,Claude Rains,Mr. Skeffington
1944,17,Actor in a Supporting Role,0,Clifton Webb,Laura
1944,17,Actor in a Supporting Role,0,Monty Woolley,Since You Went Away
1944,17,Actress,1,Ingrid Bergman,Gaslight
1944,17,Actress,0,Claudette Colbert,Since You Went Away
1944,17,Actress,0,Bette Davis,Mr. Skeffington
1944,17,Actress,0,Greer Garson,Mrs. Parkington
1944,17,Actress,0,Barbara Stanwyck,Double Indemnity
1944,17,Actress in a Supporting Role,1,Ethel Barrymore,None but the Lonely Heart
1944,17,Actress in a Supporting Role,0,Jennifer Jones,Since You Went Away
1944,17,Actress in a Supporting Role,0,Angela Lansbury,Gaslight
1944,17,Actress in a Supporting Role,0,Aline MacMahon,Dragon Seed
1944,17,Actress in a Supporting Role,0,Agnes Moorehead,Mrs. Parkington
1944,17,Art Direction (Black and White),0,Address Unknown ,"Art Direction: Lionel Banks, Walter Holscher; Interior Decoration: Joseph Kish"
1944,17,Art Direction (Black and White),0,The Adventures of Mark Twain ,Art Direction: John J. Hughes; Interior Decoration: Fred MacLean
1944,17,Art Direction (Black and White),0,Casanova Brown ,Art Direction: Perry Ferguson; Interior Decoration: Julia Heron
1944,17,Art Direction (Black and White),1,Gaslight ,"Art Direction: Cedric Gibbons, William Ferrari; Interior Decoration: Edwin B. Willis, Paul Huldschinsky"
1944,17,Art Direction (Black and White),0,Laura ,"Art Direction: Lyle Wheeler, Leland Fuller; Interior Decoration: Thomas Little"
1944,17,Art Direction (Black and White),0,No Time for Love ,"Art Direction: Hans Dreier, Robert Usher; Interior Decoration: Sam Comer"
1944,17,Art Direction (Black and White),0,Since You Went Away ,Art Direction: Mark-Lee Kirk; Interior Decoration: Victor A. Gangelin
1944,17,Art Direction (Black and White),0,Song of the Open Road,
1944,17,Art Direction (Black and White),0,Step Lively ,"Art Direction: Albert S. D'Agostino, Carroll Clark; Interior Decoration: Darrell Silvera, Claude Carpenter"
1944,17,Art Direction (Color),0,The Climax ,"Art Direction: John B. Goodman, Alexander Golitzen; Interior Decoration: Russell A. Gausman, Ira S. Webb"
1944,17,Art Direction (Color),0,Cover Girl ,"Art Direction: Lionel Banks, Cary Odell; Interior Decoration: Fay Babcock"
1944,17,Art Direction (Color),0,The Desert Song ,Art Direction: Charles Novi; Interior Decoration: Jack McConaghy
1944,17,Art Direction (Color),0,Kismet ,"Art Direction: Cedric Gibbons, Daniel B. Cathcart; Interior Decoration: Edwin B. Willis, Richard Pefferle"
1944,17,Art Direction (Color),0,Lady in the Dark ,"Art Direction: Hans Dreier, Raoul Pene du Bois; Interior Decoration: Ray Moyer"
1944,17,Art Direction (Color),0,The Princess and the Pirate ,Art Direction: Ernst Fegte; Interior Decoration: Howard Bristol
1944,17,Art Direction (Color),1,Wilson ,Art Direction: Wiard Ihnen; Interior Decoration: Thomas Little
1944,17,Cinematography (Black and White),0,Double Indemnity ,John Seitz
1944,17,Cinematography (Black and White),0,Dragon Seed ,Sidney Wagner
1944,17,Cinematography (Black and White),0,Gaslight ,Joseph Ruttenberg
1944,17,Cinematography (Black and White),0,Going My Way ,Lionel Lindon
1944,17,Cinematography (Black and White),1,Laura ,Joseph LaShelle
1944,17,Cinematography (Black and White),0,Lifeboat ,Glen MacWilliams
1944,17,Cinematography (Black and White),0,Since You Went Away ,"Stanley Cortez, Lee Garmes"
1944,17,Cinematography (Black and White),0,Thirty Seconds over Tokyo ,"Robert Surtees, Harold Rosson"
1944,17,Cinematography (Black and White),0,The Uninvited ,Charles Lang
1944,17,Cinematography (Black and White),0,The White Cliffs of Dover ,George Folsey
1944,17,Cinematography (Color),0,Cover Girl ,"Rudolph Maté, Allen M. Davey"
1944,17,Cinematography (Color),0,Home in Indiana ,Edward Cronjager
1944,17,Cinematography (Color),0,Kismet ,Charles Rosher
1944,17,Cinematography (Color),0,Lady in the Dark ,Ray Rennahan
1944,17,Cinematography (Color),0,Meet Me in St. Louis ,George Folsey
1944,17,Cinematography (Color),1,Wilson ,Leon Shamroy
1944,17,Directing,0,Double Indemnity ,Billy Wilder
1944,17,Directing,1,Going My Way ,Leo McCarey
1944,17,Directing,0,Laura ,Otto Preminger
1944,17,Directing,0,Lifeboat ,Alfred Hitchcock
1944,17,Directing,0,Wilson ,Henry King
1944,17,Documentary (Feature),1,The Fighting Lady ,United States Navy
1944,17,Documentary (Feature),0,Resisting Enemy Interrogation ,United States Army Air Force
1944,17,Documentary (Short Subject),0,Arturo Toscanini ,United States Office of War Information Overseas Motion Picture Bureau
1944,17,Documentary (Short Subject),0,New Americans ,RKO Radio
1944,17,Documentary (Short Subject),1,With the Marines at Tarawa ,United States Marine Corps
1944,17,Film Editing,0,Going My Way ,Leroy Stone
1944,17,Film Editing,0,Janie ,Owen Marks
1944,17,Film Editing,0,None but the Lonely Heart ,Roland Gross
1944,17,Film Editing,0,Since You Went Away ,"Hal C. Kern, James E. Newcom"
1944,17,Film Editing,1,Wilson ,Barbara McLean
1944,17,Music (Music Score of a Dramatic or Comedy Picture),0,Address Unknown ,"Morris Stoloff, Ernst Toch"
1944,17,Music (Music Score of a Dramatic or Comedy Picture),0,The Adventures of Mark Twain ,Max Steiner
1944,17,Music (Music Score of a Dramatic or Comedy Picture),0,The Bridge of San Luis Rey ,Dimitri Tiomkin
1944,17,Music (Music Score of a Dramatic or Comedy Picture),0,Casanova Brown ,Arthur Lange
1944,17,Music (Music Score of a Dramatic or Comedy Picture),0,Christmas Holiday ,H. J. Salter
1944,17,Music (Music Score of a Dramatic or Comedy Picture),0,Double Indemnity ,Miklos Rozsa
1944,17,Music (Music Score of a Dramatic or Comedy Picture),0,The Fighting Seabees ,"Walter Scharf, Roy Webb"
1944,17,Music (Music Score of a Dramatic or Comedy Picture),0,The Hairy Ape ,"Edward Paul, Michel Michelet"
1944,17,Music (Music Score of a Dramatic or Comedy Picture),0,It Happened Tomorrow ,Robert Stolz
1944,17,Music (Music Score of a Dramatic or Comedy Picture),0,Jack London ,Frederic Efrem Rich
1944,17,Music (Music Score of a Dramatic or Comedy Picture),0,Kismet ,Herbert Stothart
1944,17,Music (Music Score of a Dramatic or Comedy Picture),0,None but the Lonely Heart ,"Hanns Eisler, C. Bakaleinikoff"
1944,17,Music (Music Score of a Dramatic or Comedy Picture),0,The Princess and the Pirate ,David Rose
1944,17,Music (Music Score of a Dramatic or Comedy Picture),1,Since You Went Away ,Max Steiner
1944,17,Music (Music Score of a Dramatic or Comedy Picture),0,Summer Storm ,Karl Hajos
1944,17,Music (Music Score of a Dramatic or Comedy Picture),0,Three Russian Girls ,Franke Harling
1944,17,Music (Music Score of a Dramatic or Comedy Picture),0,Up in Mabel's Room ,Edward Paul
1944,17,Music (Music Score of a Dramatic or Comedy Picture),0,Voice in the Wind ,Michel Michelet
1944,17,Music (Music Score of a Dramatic or Comedy Picture),0,Wilson ,Alfred Newman
1944,17,Music (Music Score of a Dramatic or Comedy Picture),0,Woman of the Town ,Miklos Rozsa
1944,17,Music (Scoring of a Musical Picture),0,Brazil ,Walter Scharf
1944,17,Music (Scoring of a Musical Picture),1,Cover Girl ,"Morris Stoloff, Carmen Dragon"
1944,17,Music (Scoring of a Musical Picture),0,Higher and Higher ,C. Bakaleinikoff
1944,17,Music (Scoring of a Musical Picture),0,Hollywood Canteen ,Ray Heindorf
1944,17,Music (Scoring of a Musical Picture),0,Irish Eyes Are Smiling ,Alfred Newman
1944,17,Music (Scoring of a Musical Picture),0,Knickerbocker Holiday ,"Werner R. Heymann, Kurt Weill"
1944,17,Music (Scoring of a Musical Picture),0,Lady in the Dark ,Robert Emmett Dolan
1944,17,Music (Scoring of a Musical Picture),0,"Lady, Let's Dance ",Edward Kay
1944,17,Music (Scoring of a Musical Picture),0,Meet Me in St. Louis ,Georgie Stoll
1944,17,Music (Scoring of a Musical Picture),0,The Merry Monahans ,H. J. Salter
1944,17,Music (Scoring of a Musical Picture),0,Minstrel Man ,"Ferde Grofe, Leo Erdody"
1944,17,Music (Scoring of a Musical Picture),0,Sensations of 1945 ,Mahlon Merrick
1944,17,Music (Scoring of a Musical Picture),0,Song of the Open Road ,Charles Previn
1944,17,Music (Scoring of a Musical Picture),0,Up in Arms ,"Ray Heindorf, Louis Forbes"
1944,17,Music (Song),0,"""I Couldn't Sleep A Wink Last Night"" from Higher and Higher",Music by Jimmy McHugh; Lyrics by Harold Adamson
1944,17,Music (Song),0,"""I'll Walk Alone"" from Follow the Boys",Music by Jule Styne; Lyrics by Sammy Cahn
1944,17,Music (Song),0,"""I'm Making Believe"" from Sweet and Lowdown",Music by James V. Monaco; Lyrics by Mack Gordon
1944,17,Music (Song),0,"""Long Ago And Far Away"" from Cover Girl",Music by Jerome Kern; Lyrics by Ira Gershwin
1944,17,Music (Song),0,"""Now I Know"" from Up in Arms",Music by Harold Arlen; Lyrics by Ted Koehler
1944,17,Music (Song),0,"""Remember Me To Carolina"" from Minstrel Man",Music by Harry Revel; Lyrics by Paul Webster
1944,17,Music (Song),0,"""Rio De Janeiro"" from Brazil",Music by Ary Barroso; Lyrics by Ned Washington
1944,17,Music (Song),0,"""Silver Shadows And Golden Dreams"" from Lady, Let's Dance",Music by Lew Pollack; Lyrics by Charles Newman
1944,17,Music (Song),0,"""Sweet Dreams Sweetheart"" from Hollywood Canteen",Music by M. K. Jerome; Lyrics by Ted Koehler
1944,17,Music (Song),1,"""Swinging On A Star"" from Going My Way",Music by James Van Heusen; Lyrics by Johnny Burke
1944,17,Music (Song),0,"""Too Much In Love"" from Song of the Open Road",Music by Walter Kent; Lyrics by Kim Gannon
1944,17,Music (Song),0,"""The Trolley Song"" from Meet Me in St. Louis",Music and Lyrics by Ralph Blane and Hugh Martin
1944,17,Best Motion Picture,0,Double Indemnity ,Paramount
1944,17,Best Motion Picture,0,Gaslight ,Metro-Goldwyn-Mayer
1944,17,Best Motion Picture,1,Going My Way ,Paramount
1944,17,Best Motion Picture,0,Since You Went Away ,Selznick International Pictures
1944,17,Best Motion Picture,0,Wilson ,20th Century-Fox
1944,17,Short Subject (Cartoon),0,And to Think I Saw It on Mulberry Street ,"George Pal, Producer"
1944,17,Short Subject (Cartoon),0,"Dog, Cat and Canary ",Screen Gems
1944,17,Short Subject (Cartoon),0,Fish Fry ,"Walter Lantz, Producer"
1944,17,Short Subject (Cartoon),0,How to Play Football ,"Walt Disney, Producer"
1944,17,Short Subject (Cartoon),1,Mouse Trouble ,"Frederick C. Quimby, Producer"
1944,17,Short Subject (Cartoon),0,My Boy Johnny ,"Paul Terry, Producer"
1944,17,Short Subject (Cartoon),0,Swooner Crooner ,Warner Brothers
1944,17,Short Subject (One Reel),0,Blue Grass Gentlemen ,"Edmund Reek, Producer"
1944,17,Short Subject (One Reel),0,Jammin' the Blues ,"Gordon Hollingshead, Producer"
1944,17,Short Subject (One Reel),0,Movie Pests ,"Pete Smith, Producer"
1944,17,Short Subject (One Reel),0,Screen Snapshots' 50th Anniversary of Motion Pictures ,"Ralph Staub, Producer"
1944,17,Short Subject (One Reel),1,Who's Who in Animal Land ,"Jerry Fairbanks, Producer"
1944,17,Short Subject (Two Reel),0,Bombalera ,"Louis Harris, Producer"
1944,17,Short Subject (Two Reel),1,I Won't Play ,"Gordon Hollingshead, Producer"
1944,17,Short Subject (Two Reel),0,Main Street Today ,"Jerry Bresler, Producer; Herbert Moulton, Associate Producer"
1944,17,Sound Recording,0,Brazil ,"Republic Studio Sound Department, Daniel J. Bloomberg, Sound Director"
1944,17,Sound Recording,0,Casanova Brown ,"Samuel Goldwyn Studio Sound Department, Thomas T. Moulton, Sound Director"
1944,17,Sound Recording,0,Cover Girl ,"Columbia Studio Sound Department, John Livadary, Sound Director"
1944,17,Sound Recording,0,Double Indemnity ,"Paramount Studio Sound Department, Loren L. Ryder, Sound Director"
1944,17,Sound Recording,0,His Butler's Sister ,"Universal Studio Sound Department, Bernard B. Brown, Sound Director"
1944,17,Sound Recording,0,Hollywood Canteen ,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director"
1944,17,Sound Recording,0,It Happened Tomorrow ,"Sound Service, Inc., Jack Whitney, Sound Director"
1944,17,Sound Recording,0,Kismet ,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
1944,17,Sound Recording,0,Music in Manhattan ,"RKO Radio Studio Sound Department, Stephen Dunn, Sound Director"
1944,17,Sound Recording,0,Voice in the Wind ,"RCA Sound, W. M. Dalgleish, Sound Director"
1944,17,Sound Recording,1,Wilson ,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director"
1944,17,Special Effects,0,The Adventures of Mark Twain ,"Photographic Effects by Paul Detlefsen, John Crouse; Sound Effects by Nathan Levinson"
1944,17,Special Effects,0,Days of Glory ,"Photographic Effects by Vernon L. Walker; Sound Effects by James G. Stewart, Roy Granville"
1944,17,Special Effects,0,Secret Command ,"Photographic Effects by David Allen, Ray Cory, Robert Wright; Sound Effects by Russell Malmgren, Harry Kusnick"
1944,17,Special Effects,0,Since You Went Away ,Photographic Effects by John R. Cosgrove; Sound Effects by Arthur Johns
1944,17,Special Effects,0,The Story of Dr. Wassell ,"Photographic Effects by Gordon Jennings, Farciot Edouart; Sound Effects by George Dutton"
1944,17,Special Effects,1,Thirty Seconds over Tokyo ,"Photographic Effects by A. Arnold Gillespie, Donald Jahraus, Warren Newcombe; Sound Effects by Douglas Shearer"
1944,17,Special Effects,0,Wilson ,Photographic Effects by Fred Sersen; Sound Effects by Roger Heman
1944,17,Writing (Original Motion Picture Story),1,Going My Way ,Leo McCarey
1944,17,Writing (Original Motion Picture Story),0,A Guy Named Joe ,"Chandler Sprague, David Boehm"
1944,17,Writing (Original Motion Picture Story),0,Lifeboat ,John Steinbeck
1944,17,Writing (Original Motion Picture Story),0,None Shall Escape ,"Alfred Neumann, Joseph Than"
1944,17,Writing (Original Motion Picture Story),0,The Sullivans ,"Edward Doherty, Jules Schermer"
1944,17,Writing (Original Screenplay),0,Hail the Conquering Hero ,Preston Sturges
1944,17,Writing (Original Screenplay),0,The Miracle of Morgan's Creek ,Preston Sturges
1944,17,Writing (Original Screenplay),0,Two Girls and a Sailor ,"Richard Connell, Gladys Lehman"
1944,17,Writing (Original Screenplay),1,Wilson ,Lamar Trotti
1944,17,Writing (Original Screenplay),0,Wing and a Prayer ,Jerome Cady
1944,17,Writing (Screenplay),0,Double Indemnity ,"Billy Wilder, Raymond Chandler"
1944,17,Writing (Screenplay),0,Gaslight ,"John Van Druten, Walter Reisch, John L. Balderston"
1944,17,Writing (Screenplay),1,Going My Way ,"Frank Butler, Frank Cavett"
1944,17,Writing (Screenplay),0,Laura ,"Jay Dratler, Samuel Hoffenstein, Betty Reinhardt"
1944,17,Writing (Screenplay),0,Meet Me in St. Louis ,"Irving Brecher, Fred F. Finklehoffe"
1944,17,Special Award,1,Margaret O'Brien,
1944,17,Special Award,1,Bob Hope,
1944,17,Irving G. Thalberg Memorial Award,1,Darryl F. Zanuck,
1945,18,Actor,0,Bing Crosby,The Bells of St. Mary's
1945,18,Actor,0,Gene Kelly,Anchors Aweigh
1945,18,Actor,1,Ray Milland,The Lost Weekend
1945,18,Actor,0,Gregory Peck,The Keys of the Kingdom
1945,18,Actor,0,Cornel Wilde,A Song to Remember
1945,18,Actor in a Supporting Role,0,Michael Chekhov,Spellbound
1945,18,Actor in a Supporting Role,0,John Dall,The Corn Is Green
1945,18,Actor in a Supporting Role,1,James Dunn,A Tree Grows in Brooklyn
1945,18,Actor in a Supporting Role,0,Robert Mitchum,G. I. Joe
1945,18,Actor in a Supporting Role,0,J. Carrol Naish,A Medal for Benny
1945,18,Actress,0,Ingrid Bergman,The Bells of St. Mary's
1945,18,Actress,1,Joan Crawford,Mildred Pierce
1945,18,Actress,0,Greer Garson,The Valley of Decision
1945,18,Actress,0,Jennifer Jones,Love Letters
1945,18,Actress,0,Gene Tierney,Leave Her to Heaven
1945,18,Actress in a Supporting Role,0,Eve Arden,Mildred Pierce
1945,18,Actress in a Supporting Role,0,Ann Blyth,Mildred Pierce
1945,18,Actress in a Supporting Role,0,Angela Lansbury,The Picture of Dorian Gray
1945,18,Actress in a Supporting Role,0,Joan Lorring,The Corn Is Green
1945,18,Actress in a Supporting Role,1,Anne Revere,National Velvet
1945,18,Art Direction (Black and White),1,Blood on the Sun ,Art Direction: Wiard Ihnen; Interior Decoration: A. Roland Fields
1945,18,Art Direction (Black and White),0,Experiment Perilous ,"Art Direction: Albert S. D'Agostino, Jack Okey; Interior Decoration: Darrell Silvera, Claude Carpenter"
1945,18,Art Direction (Black and White),0,The Keys of the Kingdom ,"Art Direction: James Basevi, William Darling; Interior Decoration: Thomas Little, Frank E. Hughes"
1945,18,Art Direction (Black and White),0,Love Letters ,"Art Direction: Hans Dreier, Roland Anderson; Interior Decoration: Sam Comer, Ray Moyer"
1945,18,Art Direction (Black and White),0,The Picture of Dorian Gray ,"Art Direction: Cedric Gibbons, Hans Peters; Interior Decoration: Edwin B. Willis, Hugh Hunt, John Bonar"
1945,18,Art Direction (Color),1,Frenchman's Creek ,"Art Direction: Hans Dreier, Ernst Fegte; Interior Decoration: Sam Comer"
1945,18,Art Direction (Color),0,Leave Her to Heaven ,"Art Direction: Lyle Wheeler, Maurice Ransford; Interior Decoration: Thomas Little"
1945,18,Art Direction (Color),0,National Velvet ,"Art Direction: Cedric Gibbons, Urie McCleary; Interior Decoration: Edwin B. Willis, Mildred Griffiths"
1945,18,Art Direction (Color),0,San Antonio ,Art Direction: Ted Smith; Interior Decoration: Jack McConaghy
1945,18,Art Direction (Color),0,A Thousand and One Nights ,"Art Direction: Stephen Goosson, Rudolph Sternad; Interior Decoration: Frank Tuttle"
1945,18,Cinematography (Black and White),0,The Keys of the Kingdom ,Arthur Miller
1945,18,Cinematography (Black and White),0,The Lost Weekend ,John F. Seitz
1945,18,Cinematography (Black and White),0,Mildred Pierce ,Ernest Haller
1945,18,Cinematography (Black and White),1,The Picture of Dorian Gray ,Harry Stradling
1945,18,Cinematography (Black and White),0,Spellbound ,George Barnes
1945,18,Cinematography (Color),0,Anchors Aweigh ,"Robert Planck, Charles Boyle"
1945,18,Cinematography (Color),1,Leave Her to Heaven ,Leon Shamroy
1945,18,Cinematography (Color),0,National Velvet ,Leonard Smith
1945,18,Cinematography (Color),0,A Song to Remember ,"Tony Gaudio, Allen M. Davey"
1945,18,Cinematography (Color),0,The Spanish Main ,George Barnes
1945,18,Directing,0,The Bells of St. Mary's ,Leo McCarey
1945,18,Directing,1,The Lost Weekend ,Billy Wilder
1945,18,Directing,0,National Velvet ,Clarence Brown
1945,18,Directing,0,The Southerner ,Jean Renoir
1945,18,Directing,0,Spellbound ,Alfred Hitchcock
1945,18,Documentary (Feature),0,The Last Bomb ,United States Army Air Force
1945,18,Documentary (Feature),1,The True Glory ,The Governments of Great Britain and the United States of America
1945,18,Documentary (Short Subject),1,Hitler Lives? ,"Gordon Hollingshead, Producer"
1945,18,Documentary (Short Subject),0,Library of Congress ,United States Office of War Information Overseas Motion Picture Bureau
1945,18,Documentary (Short Subject),0,To the Shores of Iwo Jima ,United States Marine Corps
1945,18,Film Editing,0,The Bells of St. Mary's ,Harry Marker
1945,18,Film Editing,0,The Lost Weekend ,Doane Harrison
1945,18,Film Editing,1,National Velvet ,Robert J. Kern
1945,18,Film Editing,0,"Objective, Burma! ",George Amy
1945,18,Film Editing,0,A Song to Remember ,Charles Nelson
1945,18,Music (Music Score of a Dramatic or Comedy Picture),0,The Bells of St. Mary's ,Robert Emmett Dolan
1945,18,Music (Music Score of a Dramatic or Comedy Picture),0,Brewster's Millions ,Lou Forbes
1945,18,Music (Music Score of a Dramatic or Comedy Picture),0,Captain Kidd ,Werner Janssen
1945,18,Music (Music Score of a Dramatic or Comedy Picture),0,The Enchanted Cottage ,Roy Webb
1945,18,Music (Music Score of a Dramatic or Comedy Picture),0,Flame of Barbary Coast ,"Morton Scott, Dale Butts"
1945,18,Music (Music Score of a Dramatic or Comedy Picture),0,G. I. Honeymoon ,Edward J. Kay
1945,18,Music (Music Score of a Dramatic or Comedy Picture),0,G. I. Joe ,"Louis Applebaum, Ann Ronell"
1945,18,Music (Music Score of a Dramatic or Comedy Picture),0,Guest in the House ,Werner Janssen
