category,common_name,measures,scientific_name
Groupers and Seabasses,Baramundi,Sub-national level,Cromileptes altivelis
Groupers and Seabasses,Baramundi,Legislation,Cromileptes altivelis
Groupers and Seabasses,Baramundi,Species management,Cromileptes altivelis
Groupers and Seabasses,Baramundi,Site/area management,Cromileptes altivelis
Groupers and Seabasses,Slender Grouper,Species management,Anyperodon leucogrammicus
Groupers and Seabasses,Slender Grouper,Site/area management,Anyperodon leucogrammicus
Groupers and Seabasses,Slender Grouper,Site/area protection,Anyperodon leucogrammicus
Groupers and Seabasses,Slender Grouper,Harvest management,Anyperodon leucogrammicus
Grunts and Snappers,White Margate,Species management,Haemulon album
Grunts and Snappers,White Margate,Harvest management,Haemulon album
Grunts and Snappers,Black Margate,Species management,Anisotremus surinamensis
Grunts and Snappers,Black Margate,Trade management,Anisotremus surinamensis
Grunts and Snappers,Black Margate,Harvest management,Anisotremus surinamensis
Grunts and Snappers,Black Margate,Resource & habitat protection,Anisotremus surinamensis
Grunts and Snappers,Smalltoothed Jobfish,Harvest management,Aphareus furca
Grunts and Snappers,Smalltoothed Jobfish,National level,Aphareus furca
Grunts and Snappers,Smalltoothed Jobfish,Sub-national level,Aphareus furca
Grunts and Snappers,Smalltoothed Jobfish,Compliance and enforcement,Aphareus furca
Grunts and Snappers,Smalltoothed Jobfish,Legislation,Aphareus furca
Grunts and Snappers,Smalltoothed Jobfish,Species management,Aphareus furca
Grunts and Snappers,Yellowtail Snapper,Species management,Ocyurus chrysurus
Grunts and Snappers,Yellowtail Snapper,Harvest management,Ocyurus chrysurus
Grunts and Snappers,Dog Snapper,Species management,Lutjanus jocu
Grunts and Snappers,Dog Snapper,Harvest management,Lutjanus jocu
Grunts and Snappers,Mutton Snapper,Species management,Lutjanus analis
Grunts and Snappers,Mutton Snapper,Harvest management,Lutjanus analis
Grunts and Snappers,Lane Snapper,Species management,Lutjanus synagris
Grunts and Snappers,Lane Snapper,Harvest management,Lutjanus synagris
Grunts and Snappers,Blacktail Snapper,Species management,Lutjanus fulvus
Grunts and Snappers,Blacktail Snapper,Harvest management,Lutjanus fulvus
Grunts and Snappers,Black-Banded Snapper,Sub-national level,Lutjanus semicinctus
Grunts and Snappers,Black-Banded Snapper,Compliance and enforcement,Lutjanus semicinctus
Grunts and Snappers,Black-Banded Snapper,Legislation,Lutjanus semicinctus
Grunts and Snappers,Bluestripe Snapper,Harvest management,Lutjanus kasmira
Grunts and Snappers,Bluestripe Snapper,Sub-national level,Lutjanus kasmira
Grunts and Snappers,Bluestripe Snapper,Compliance and enforcement,Lutjanus kasmira
Grunts and Snappers,Bluestripe Snapper,Legislation,Lutjanus kasmira
Grunts and Snappers,Bluestripe Snapper,Species management,Lutjanus kasmira
Grunts and Snappers,Blackfin Snapper,Species management,Lutjanus buccanella
Grunts and Snappers,Blackfin Snapper,Harvest management,Lutjanus buccanella
Grunts and Snappers,Twospot Snapper,Harvest management,Lutjanus biguttatus
Grunts and Snappers,Twospot Snapper,National level,Lutjanus biguttatus
Grunts and Snappers,Twospot Snapper,Sub-national level,Lutjanus biguttatus
Grunts and Snappers,Twospot Snapper,Compliance and enforcement,Lutjanus biguttatus
Grunts and Snappers,Twospot Snapper,Legislation,Lutjanus biguttatus
Grunts and Snappers,Twospot Snapper,Species management,Lutjanus biguttatus
Grunts and Snappers,Midnight Snapper,Harvest management,Macolor macularis
Grunts and Snappers,Midnight Snapper,National level,Macolor macularis
Grunts and Snappers,Midnight Snapper,Sub-national level,Macolor macularis
Grunts and Snappers,Midnight Snapper,Compliance and enforcement,Macolor macularis
Grunts and Snappers,Midnight Snapper,Legislation,Macolor macularis
Grunts and Snappers,Midnight Snapper,Species management,Macolor macularis
Parrotfishes and Wrasses,Yellowfin Parrotfish,Site/area protection,Scarus flavipectoralis
Parrotfishes and Wrasses,Steephead Parrotfish,International level,Chlorurus microrhinos
Parrotfishes and Wrasses,Steephead Parrotfish,Compliance and enforcement,Chlorurus microrhinos
Parrotfishes and Wrasses,Steephead Parrotfish,Resource & habitat protection,Chlorurus microrhinos
Parrotfishes and Wrasses,Green Humphead Parrotfish,Captive breeding/artificial propagation,Bolbometopon muricatum
Parrotfishes and Wrasses,Green Humphead Parrotfish,Linked enterprises & livelihood alternatives,Bolbometopon muricatum
Parrotfishes and Wrasses,Green Humphead Parrotfish,Site/area protection,Bolbometopon muricatum
Parrotfishes and Wrasses,Green Humphead Parrotfish,Harvest management,Bolbometopon muricatum
Parrotfishes and Wrasses,Green Humphead Parrotfish,National level,Bolbometopon muricatum
Parrotfishes and Wrasses,Green Humphead Parrotfish,Sub-national level,Bolbometopon muricatum
Parrotfishes and Wrasses,Green Humphead Parrotfish,Trade management,Bolbometopon muricatum
Parrotfishes and Wrasses,Green Humphead Parrotfish,Ex-situ conservation,Bolbometopon muricatum
Parrotfishes and Wrasses,Green Humphead Parrotfish,Legislation,Bolbometopon muricatum
Parrotfishes and Wrasses,Green Humphead Parrotfish,Species management,Bolbometopon muricatum
Parrotfishes and Wrasses,Green Humphead Parrotfish,Site/area management,Bolbometopon muricatum
Parrotfishes and Wrasses,Green Humphead Parrotfish,Genome resource bank,Bolbometopon muricatum
Parrotfishes and Wrasses,Green Humphead Parrotfish,Resource & habitat protection,Bolbometopon muricatum
Parrotfishes and Wrasses,Humphead Wrasse,Awareness & communications,Cheilinus undulatus
Parrotfishes and Wrasses,Humphead Wrasse,Site/area protection,Cheilinus undulatus
Parrotfishes and Wrasses,Humphead Wrasse,National level,Cheilinus undulatus
Parrotfishes and Wrasses,Humphead Wrasse,International level,Cheilinus undulatus
Parrotfishes and Wrasses,Humphead Wrasse,Sub-national level,Cheilinus undulatus
Parrotfishes and Wrasses,Humphead Wrasse,Compliance and enforcement,Cheilinus undulatus
Parrotfishes and Wrasses,Humphead Wrasse,Legislation,Cheilinus undulatus
Parrotfishes and Wrasses,Humphead Wrasse,Site/area management,Cheilinus undulatus
Parrotfishes and Wrasses,Redbreasted Wrasse,Species management,Cheilinus fasciatus
Parrotfishes and Wrasses,Redbreasted Wrasse,Trade management,Cheilinus fasciatus
Parrotfishes and Wrasses,Redbreasted Wrasse,Harvest management,Cheilinus fasciatus
Parrotfishes and Wrasses,Slingjaw Wrasse,Species management,Epibulus insidiator
Parrotfishes and Wrasses,Slingjaw Wrasse,Trade management,Epibulus insidiator
Parrotfishes and Wrasses,Slingjaw Wrasse,Harvest management,Epibulus insidiator
Parrotfishes and Wrasses,Anchor Tuskfish,Species management,Choerodon anchorago
Parrotfishes and Wrasses,Anchor Tuskfish,Trade management,Choerodon anchorago
Parrotfishes and Wrasses,Anchor Tuskfish,Harvest management,Choerodon anchorago
Parrotfishes and Wrasses,Cheeklined Wrasse,Site/area management,Oxycheilinus digramma
Parrotfishes and Wrasses,Celebes Wrasse,Site/area management,Oxycheilinus celebicus
Parrotfishes and Wrasses,Bluestreak Cleaner Wrasse,Species management,Labroides dimidiatus
Parrotfishes and Wrasses,Bluestreak Cleaner Wrasse,Trade management,Labroides dimidiatus
Parrotfishes and Wrasses,Bluestreak Cleaner Wrasse,Harvest management,Labroides dimidiatus
Parrotfishes and Wrasses,Bicolor Cleaner Wrasse,National level,Labroides bicolor
Parrotfishes and Wrasses,Bicolor Cleaner Wrasse,Compliance and enforcement,Labroides bicolor
Parrotfishes and Wrasses,Hogfish,Species management,Lachnolaimus maximus
Parrotfishes and Wrasses,Hogfish,Harvest management,Lachnolaimus maximus
Parrotfishes and Wrasses,Spanish Hogfish,Species management,Bodianus rufus
Parrotfishes and Wrasses,Spanish Hogfish,Trade management,Bodianus rufus
Parrotfishes and Wrasses,Spanish Hogfish,Harvest management,Bodianus rufus
Parrotfishes and Wrasses,Cigar Wrasse,Species management,Cheilio inermis
Parrotfishes and Wrasses,Cigar Wrasse,Trade management,Cheilio inermis
Parrotfishes and Wrasses,Cigar Wrasse,Harvest management,Cheilio inermis
Red Fish,Banggai Cardinalfish,Awareness & communications,Pterapogon kauderni
Red Fish,Banggai Cardinalfish,Captive breeding/artificial propagation,Pterapogon kauderni
Red Fish,Banggai Cardinalfish,Training,Pterapogon kauderni
Red Fish,Banggai Cardinalfish,Linked enterprises & livelihood alternatives,Pterapogon kauderni
Red Fish,Banggai Cardinalfish,Site/area protection,Pterapogon kauderni
Red Fish,Banggai Cardinalfish,Species re-introduction,Pterapogon kauderni
Red Fish,Banggai Cardinalfish,National level,Pterapogon kauderni
Red Fish,Banggai Cardinalfish,International level,Pterapogon kauderni
Red Fish,Banggai Cardinalfish,Trade management,Pterapogon kauderni
Red Fish,Banggai Cardinalfish,Species recovery,Pterapogon kauderni
Red Fish,Banggai Cardinalfish,Ex-situ conservation,Pterapogon kauderni
Red Fish,Banggai Cardinalfish,Sub-national level,Pterapogon kauderni
Red Fish,Banggai Cardinalfish,Reintroduction,Pterapogon kauderni
Red Fish,Banggai Cardinalfish,Legislation,Pterapogon kauderni
Red Fish,Banggai Cardinalfish,Species management,Pterapogon kauderni
Red Fish,Banggai Cardinalfish,Site/area management,Pterapogon kauderni
Red Fish,Banggai Cardinalfish,Resource & habitat protection,Pterapogon kauderni
Bottom Dwellers,Dragon Sea Moth,Species management,Eurypegasus draconis
Bottom Dwellers,Dragon Sea Moth,Harvest management,Eurypegasus draconis
Odd Shaped Swimmers,Whitesaddle Goatfish,Species management,Parupeneus porphyreus
Odd Shaped Swimmers,Whitesaddle Goatfish,Harvest management,Parupeneus porphyreus
Odd Shaped Swimmers,Razorfish,National level,Aeoliscus strigatus
Odd Shaped Swimmers,Razorfish,International level,Aeoliscus strigatus
Odd Shaped Swimmers,Razorfish,Compliance and enforcement,Aeoliscus strigatus
Odd Shaped Swimmers,Razorfish,Legislation,Aeoliscus strigatus
Seahorses and Pipefish,Thorny seahorse,Awareness & communications,Hippocampus histrix
Seahorses and Pipefish,Thorny seahorse,Training,Hippocampus histrix
Seahorses and Pipefish,Thorny seahorse,Site/area protection,Hippocampus histrix
Seahorses and Pipefish,Thorny seahorse,Harvest management,Hippocampus histrix
Seahorses and Pipefish,Thorny seahorse,Trade management,Hippocampus histrix
Seahorses and Pipefish,Thorny seahorse,Habitat & natural process restoration,Hippocampus histrix
Seahorses and Pipefish,Thorny seahorse,Policies and regulations,Hippocampus histrix
Seahorses and Pipefish,Thorny seahorse,Species management,Hippocampus histrix
Seahorses and Pipefish,Thorny seahorse,Site/area management,Hippocampus histrix
Seahorses and Pipefish,Thorny seahorse,Resource & habitat protection,Hippocampus histrix
Seahorses and Pipefish,Common Seahorse,Awareness & communications,Hippocampus kuda
Seahorses and Pipefish,Common Seahorse,Site/area protection,Hippocampus kuda
Seahorses and Pipefish,Common Seahorse,Harvest management,Hippocampus kuda
Seahorses and Pipefish,Common Seahorse,Private sector standards & codes,Hippocampus kuda
Seahorses and Pipefish,Common Seahorse,International level,Hippocampus kuda
Seahorses and Pipefish,Common Seahorse,Trade management,Hippocampus kuda
Seahorses and Pipefish,Common Seahorse,Compliance and enforcement,Hippocampus kuda
Seahorses and Pipefish,Common Seahorse,National level,Hippocampus kuda
Seahorses and Pipefish,Common Seahorse,Sub-national level,Hippocampus kuda
Seahorses and Pipefish,Common Seahorse,Habitat & natural process restoration,Hippocampus kuda
Seahorses and Pipefish,Common Seahorse,Policies and regulations,Hippocampus kuda
Seahorses and Pipefish,Common Seahorse,Species management,Hippocampus kuda
Seahorses and Pipefish,Common Seahorse,Site/area management,Hippocampus kuda
Seahorses and Pipefish,Common Seahorse,Resource & habitat protection,Hippocampus kuda
Seahorses and Pipefish,Smooth Seahorse,Awareness & communications,Hippocampus trimaculatus
Seahorses and Pipefish,Smooth Seahorse,Training,Hippocampus trimaculatus
Seahorses and Pipefish,Smooth Seahorse,Harvest management,Hippocampus trimaculatus
Seahorses and Pipefish,Smooth Seahorse,Trade management,Hippocampus trimaculatus
Seahorses and Pipefish,Smooth Seahorse,Species management,Hippocampus trimaculatus
Seahorses and Pipefish,Pacific Seahorse,Awareness & communications,Hippocampus ingens
Seahorses and Pipefish,Pacific Seahorse,Harvest management,Hippocampus ingens
Seahorses and Pipefish,Pacific Seahorse,National level,Hippocampus ingens
Seahorses and Pipefish,Pacific Seahorse,Sub-national level,Hippocampus ingens
Seahorses and Pipefish,Pacific Seahorse,Trade management,Hippocampus ingens
Seahorses and Pipefish,Pacific Seahorse,Legislation,Hippocampus ingens
Seahorses and Pipefish,Pacific Seahorse,Species management,Hippocampus ingens
Seahorses and Pipefish,Pygmy Seahorse,National level,Hippocampus bargibanti
Seahorses and Pipefish,Pygmy Seahorse,International level,Hippocampus bargibanti
Seahorses and Pipefish,Pygmy Seahorse,Sub-national level,Hippocampus bargibanti
Seahorses and Pipefish,Pygmy Seahorse,Private sector standards & codes,Hippocampus bargibanti
Seahorses and Pipefish,Pygmy Seahorse,Compliance and enforcement,Hippocampus bargibanti
Seahorses and Pipefish,Pygmy Seahorse,Policies and regulations,Hippocampus bargibanti
Seahorses and Pipefish,Pygmy Seahorse,Legislation,Hippocampus bargibanti
Seahorses and Pipefish,Pontoh's Pygmy Seahorse,National level,Hippocampus pontohi
Seahorses and Pipefish,Pontoh's Pygmy Seahorse,International level,Hippocampus pontohi
Seahorses and Pipefish,Pontoh's Pygmy Seahorse,Sub-national level,Hippocampus pontohi
Seahorses and Pipefish,Pontoh's Pygmy Seahorse,Private sector standards & codes,Hippocampus pontohi
Seahorses and Pipefish,Pontoh's Pygmy Seahorse,Compliance and enforcement,Hippocampus pontohi
Seahorses and Pipefish,Pontoh's Pygmy Seahorse,Policies and regulations,Hippocampus pontohi
Seahorses and Pipefish,Pontoh's Pygmy Seahorse,Legislation,Hippocampus pontohi
Seahorses and Pipefish,Naia Pipefish,National level,Dunckerocampus naia
Seahorses and Pipefish,Naia Pipefish,International level,Dunckerocampus naia
Seahorses and Pipefish,Naia Pipefish,Sub-national level,Dunckerocampus naia
Seahorses and Pipefish,Naia Pipefish,Private sector standards & codes,Dunckerocampus naia
Seahorses and Pipefish,Naia Pipefish,Compliance and enforcement,Dunckerocampus naia
Seahorses and Pipefish,Naia Pipefish,Policies and regulations,Dunckerocampus naia
Seahorses and Pipefish,Naia Pipefish,Legislation,Dunckerocampus naia
Seahorses and Pipefish,Brown-banded Pipefish,National level,Corythoichthys amplexus
Seahorses and Pipefish,Brown-banded Pipefish,International level,Corythoichthys amplexus
Seahorses and Pipefish,Brown-banded Pipefish,Sub-national level,Corythoichthys amplexus
Seahorses and Pipefish,Brown-banded Pipefish,Private sector standards & codes,Corythoichthys amplexus
Seahorses and Pipefish,Brown-banded Pipefish,Compliance and enforcement,Corythoichthys amplexus
Seahorses and Pipefish,Brown-banded Pipefish,Policies and regulations,Corythoichthys amplexus
Seahorses and Pipefish,Brown-banded Pipefish,Legislation,Corythoichthys amplexus
Seahorses and Pipefish,Shortnose Pipefish,National level,Micrognathus andersonii
Seahorses and Pipefish,Shortnose Pipefish,International level,Micrognathus andersonii
Seahorses and Pipefish,Shortnose Pipefish,Sub-national level,Micrognathus andersonii
Seahorses and Pipefish,Shortnose Pipefish,Compliance and enforcement,Micrognathus andersonii
Seahorses and Pipefish,Shortnose Pipefish,Policies and regulations,Micrognathus andersonii
Seahorses and Pipefish,Shortnose Pipefish,Legislation,Micrognathus andersonii
Seahorses and Pipefish,Mushroom Coral Pipefish,National level,Siokunichthys nigrolineatus
Seahorses and Pipefish,Mushroom Coral Pipefish,International level,Siokunichthys nigrolineatus
Seahorses and Pipefish,Mushroom Coral Pipefish,Sub-national level,Siokunichthys nigrolineatus
Seahorses and Pipefish,Mushroom Coral Pipefish,Private sector standards & codes,Siokunichthys nigrolineatus
Seahorses and Pipefish,Mushroom Coral Pipefish,Compliance and enforcement,Siokunichthys nigrolineatus
Seahorses and Pipefish,Mushroom Coral Pipefish,Policies and regulations,Siokunichthys nigrolineatus
Seahorses and Pipefish,Mushroom Coral Pipefish,Legislation,Siokunichthys nigrolineatus
Seahorses and Pipefish,Double-Ended Pipefish,Harvest management,Syngnathoides biaculeatus
Seahorses and Pipefish,Double-Ended Pipefish,National level,Syngnathoides biaculeatus
Seahorses and Pipefish,Double-Ended Pipefish,International level,Syngnathoides biaculeatus
Seahorses and Pipefish,Double-Ended Pipefish,Compliance and enforcement,Syngnathoides biaculeatus
Seahorses and Pipefish,Double-Ended Pipefish,Legislation,Syngnathoides biaculeatus
Seahorses and Pipefish,Double-Ended Pipefish,Species management,Syngnathoides biaculeatus
Sharks and Rays,Caribbean Whiptail Stingray,Species management,Himantura schmardae
Sharks and Rays,Caribbean Whiptail Stingray,Site/area management,Himantura schmardae
Sharks and Rays,Caribbean Whiptail Stingray,Harvest management,Himantura schmardae
Sharks and Rays,Cowtail Stingray,Awareness & communications,Pastinachus sephen
Sharks and Rays,Cowtail Stingray,Harvest management,Pastinachus sephen
Sharks and Rays,Cowtail Stingray,National level,Pastinachus sephen
Sharks and Rays,Cowtail Stingray,Compliance and enforcement,Pastinachus sephen
Sharks and Rays,Cowtail Stingray,Policies and regulations,Pastinachus sephen
Sharks and Rays,Cowtail Stingray,Legislation,Pastinachus sephen
Sharks and Rays,Cowtail Stingray,Species management,Pastinachus sephen
Sharks and Rays,Cowtail Stingray,Resource & habitat protection,Pastinachus sephen
Crustaceans,Banded Spiny Lobster,Species management,Panulirus marginatus
Crustaceans,Banded Spiny Lobster,Species recovery,Panulirus marginatus
Crustaceans,Banded Spiny Lobster,Harvest management,Panulirus marginatus
Cephalopods,Common Octopus,Species management,Octopus vulgaris
Cephalopods,Common Octopus,Harvest management,Octopus vulgaris
Coral,Branching Fire Coral,Captive breeding/artificial propagation,Millepora alcicornis
Coral,Branching Fire Coral,Site/area protection,Millepora alcicornis
Coral,Branching Fire Coral,Species recovery,Millepora alcicornis
Coral,Branching Fire Coral,Ex-situ conservation,Millepora alcicornis
Coral,Branching Fire Coral,Habitat & natural process restoration,Millepora alcicornis
Coral,Branching Fire Coral,Site/area management,Millepora alcicornis
Coral,Branching Fire Coral,Genome resource bank,Millepora alcicornis
Coral,Blade Fire Coral,Captive breeding/artificial propagation,Millepora Complanata
Coral,Blade Fire Coral,Site/area protection,Millepora Complanata
Coral,Blade Fire Coral,Species recovery,Millepora Complanata
Coral,Blade Fire Coral,Ex-situ conservation,Millepora Complanata
Coral,Blade Fire Coral,Habitat & natural process restoration,Millepora Complanata
Coral,Blade Fire Coral,Site/area management,Millepora Complanata
Coral,Blade Fire Coral,Genome resource bank,Millepora Complanata
Coral,Staghorn Coral,Captive breeding/artificial propagation,Acropora cervicornis
Coral,Staghorn Coral,Site/area protection,Acropora cervicornis
Coral,Staghorn Coral,Species recovery,Acropora cervicornis
Coral,Staghorn Coral,Ex-situ conservation,Acropora cervicornis
Coral,Staghorn Coral,Habitat & natural process restoration,Acropora cervicornis
Coral,Staghorn Coral,Site/area management,Acropora cervicornis
Coral,Staghorn Coral,Genome resource bank,Acropora cervicornis
Coral,Clubtip Finger Coral,Captive breeding/artificial propagation,Porites porites
Coral,Clubtip Finger Coral,Site/area protection,Porites porites
Coral,Clubtip Finger Coral,Species recovery,Porites porites
Coral,Clubtip Finger Coral,Ex-situ conservation,Porites porites
Coral,Clubtip Finger Coral,Habitat & natural process restoration,Porites porites
Coral,Clubtip Finger Coral,Site/area management,Porites porites
Coral,Clubtip Finger Coral,Genome resource bank,Porites porites
Coral,Branched Finger Coral,Captive breeding/artificial propagation,Porites furcata
Coral,Branched Finger Coral,Site/area protection,Porites furcata
Coral,Branched Finger Coral,Species recovery,Porites furcata
Coral,Branched Finger Coral,Ex-situ conservation,Porites furcata
Coral,Branched Finger Coral,Habitat & natural process restoration,Porites furcata
Coral,Branched Finger Coral,Site/area management,Porites furcata
Coral,Branched Finger Coral,Genome resource bank,Porites furcata
Coral,Thin Finger Coral,Captive breeding/artificial propagation,Porites divaricata
Coral,Thin Finger Coral,Site/area protection,Porites divaricata
Coral,Thin Finger Coral,Species recovery,Porites divaricata
Coral,Thin Finger Coral,Ex-situ conservation,Porites divaricata
Coral,Thin Finger Coral,Habitat & natural process restoration,Porites divaricata
Coral,Thin Finger Coral,Site/area management,Porites divaricata
Coral,Thin Finger Coral,Genome resource bank,Porites divaricata
Coral,Pillar Coral,Captive breeding/artificial propagation,Dendrogyra cylindrus
Coral,Pillar Coral,Site/area protection,Dendrogyra cylindrus
Coral,Pillar Coral,Species recovery,Dendrogyra cylindrus
Coral,Pillar Coral,Ex-situ conservation,Dendrogyra cylindrus
Coral,Pillar Coral,Habitat & natural process restoration,Dendrogyra cylindrus
Coral,Pillar Coral,Site/area management,Dendrogyra cylindrus
Coral,Pillar Coral,Genome resource bank,Dendrogyra cylindrus
Coral,Diffuse Ivory Bush Coral,Captive breeding/artificial propagation,Oculina diffusa
Coral,Diffuse Ivory Bush Coral,Site/area protection,Oculina diffusa
Coral,Diffuse Ivory Bush Coral,Species recovery,Oculina diffusa
Coral,Diffuse Ivory Bush Coral,Ex-situ conservation,Oculina diffusa
Coral,Diffuse Ivory Bush Coral,Habitat & natural process restoration,Oculina diffusa
Coral,Diffuse Ivory Bush Coral,Site/area management,Oculina diffusa
Coral,Diffuse Ivory Bush Coral,Genome resource bank,Oculina diffusa
Coral,Ten-Ray Star Coral,Captive breeding/artificial propagation,Madracis decactis
Coral,Ten-Ray Star Coral,Site/area protection,Madracis decactis
Coral,Ten-Ray Star Coral,Species recovery,Madracis decactis
Coral,Ten-Ray Star Coral,Ex-situ conservation,Madracis decactis
Coral,Ten-Ray Star Coral,Habitat & natural process restoration,Madracis decactis
Coral,Ten-Ray Star Coral,Site/area management,Madracis decactis
Coral,Ten-Ray Star Coral,Genome resource bank,Madracis decactis
Coral,Lobed Star Coral,Captive breeding/artificial propagation,Montastraea annularis
Coral,Lobed Star Coral,Site/area protection,Montastraea annularis
Coral,Lobed Star Coral,Species recovery,Montastraea annularis
Coral,Lobed Star Coral,Ex-situ conservation,Montastraea annularis
Coral,Lobed Star Coral,Habitat & natural process restoration,Montastraea annularis
Coral,Lobed Star Coral,Site/area management,Montastraea annularis
Coral,Lobed Star Coral,Genome resource bank,Montastraea annularis
Coral,Mountainous Star Coral,Captive breeding/artificial propagation,Montastraea faveolata
Coral,Mountainous Star Coral,Site/area protection,Montastraea faveolata
Coral,Mountainous Star Coral,Species recovery,Montastraea faveolata
Coral,Mountainous Star Coral,Ex-situ conservation,Montastraea faveolata
Coral,Mountainous Star Coral,Habitat & natural process restoration,Montastraea faveolata
Coral,Mountainous Star Coral,Site/area management,Montastraea faveolata
Coral,Mountainous Star Coral,Genome resource bank,Montastraea faveolata
Coral,Boulder Star Coral,Captive breeding/artificial propagation,Montastraea franksi
Coral,Boulder Star Coral,Site/area protection,Montastraea franksi
Coral,Boulder Star Coral,Species recovery,Montastraea franksi
Coral,Boulder Star Coral,Ex-situ conservation,Montastraea franksi
Coral,Boulder Star Coral,Habitat & natural process restoration,Montastraea franksi
Coral,Boulder Star Coral,Site/area management,Montastraea franksi
Coral,Boulder Star Coral,Genome resource bank,Montastraea franksi
Coral,Great Star Coral,Captive breeding/artificial propagation,Montastraea cavernosa
Coral,Great Star Coral,Site/area protection,Montastraea cavernosa
Coral,Great Star Coral,Species recovery,Montastraea cavernosa
Coral,Great Star Coral,Ex-situ conservation,Montastraea cavernosa
Coral,Great Star Coral,Habitat & natural process restoration,Montastraea cavernosa
Coral,Great Star Coral,Site/area management,Montastraea cavernosa
