common_name,scientific_name,images,category,image_id
Longnose Butterflyfish,Forcipiger flavissimus,https://reefguide.org/pix/thumb2/commonlongnosebutterflyfish3.jpg,Large Oval Fish,44
Longnose Butterflyfish,Forcipiger flavissimus,https://reefguide.org/pix/thumb2/commonlongnosebutterflyfish4.jpg,Large Oval Fish,45
Longnose Butterflyfish,Forcipiger flavissimus,https://reefguide.org/pix/thumb2/commonlongnosebutterflyfish5.jpg,Large Oval Fish,46
Longnose Butterflyfish,Forcipiger flavissimus,https://reefguide.org/pix/thumb2/commonlongnosebutterflyfish6.jpg,Large Oval Fish,47
Longnose Butterflyfish,Forcipiger flavissimus,https://reefguide.org/pix/thumb2/commonlongnosebutterflyfish7.jpg,Large Oval Fish,48
Longnose Butterflyfish,Forcipiger flavissimus,https://reefguide.org/pix/thumb2/commonlongnosebutterflyfish8.jpg,Large Oval Fish,49
Longnose Butterflyfish,Forcipiger flavissimus,https://reefguide.org/pix/thumb2/commonlongnosebutterflyfish1.jpg,Large Oval Fish,50
Longnose Butterflyfish,Forcipiger flavissimus,https://reefguide.org/pix/thumb2/commonlongnosebutterflyfish10.jpg,Large Oval Fish,51
Longnose Butterflyfish,Forcipiger flavissimus,https://reefguide.org/pix/thumb2/commonlongnosebutterflyfish11.jpg,Large Oval Fish,52
Longnose Butterflyfish,Forcipiger flavissimus,https://reefguide.org/pix/thumb2/commonlongnosebutterflyfish12.jpg,Large Oval Fish,53
Big Longnose Butterflyfish,Forcipiger longirostris,https://reefguide.org/pix/thumb2/biglongnosebutterflyfish3.jpg,Large Oval Fish,54
Big Longnose Butterflyfish,Forcipiger longirostris,https://reefguide.org/pix/thumb2/biglongnosebutterflyfish1.jpg,Large Oval Fish,55
Big Longnose Butterflyfish,Forcipiger longirostris,https://reefguide.org/pix/thumb2/biglongnosebutterflyfish4.jpg,Large Oval Fish,56
Big Longnose Butterflyfish,Forcipiger longirostris,https://reefguide.org/pix/thumb2/biglongnosebutterflyfish2.jpg,Large Oval Fish,57
Big Longnose Butterflyfish,Forcipiger longirostris,https://reefguide.org/pix/thumb2/biglongnosebutterflyfish5.jpg,Large Oval Fish,58
Foureye Butterflyfish,Chaetodon capistratus,https://reefguide.org/pix/thumb2/foureyebutterflyfish13.jpg,Large Oval Fish,59
Foureye Butterflyfish,Chaetodon capistratus,https://reefguide.org/pix/thumb2/foureyebutterflyfish2.jpg,Large Oval Fish,60
Foureye Butterflyfish,Chaetodon capistratus,https://reefguide.org/pix/thumb2/foureyebutterflyfish4.jpg,Large Oval Fish,61
Foureye Butterflyfish,Chaetodon capistratus,https://reefguide.org/pix/thumb2/foureyebutterflyfish5.jpg,Large Oval Fish,62
Foureye Butterflyfish,Chaetodon capistratus,https://reefguide.org/pix/thumb2/foureyebutterflyfish8.jpg,Large Oval Fish,63
Foureye Butterflyfish,Chaetodon capistratus,https://reefguide.org/pix/thumb2/foureyebutterflyfish7.jpg,Large Oval Fish,64
Foureye Butterflyfish,Chaetodon capistratus,https://reefguide.org/pix/thumb2/foureyebutterflyfish3.jpg,Large Oval Fish,65
Foureye Butterflyfish,Chaetodon capistratus,https://reefguide.org/pix/thumb2/foureyebutterflyfish1.jpg,Large Oval Fish,66
Foureye Butterflyfish,Chaetodon capistratus,https://reefguide.org/pix/thumb2/foureyebutterflyfish6.jpg,Large Oval Fish,67
Foureye Butterflyfish,Chaetodon capistratus,https://reefguide.org/pix/thumb2/foureyebutterflyfish9.jpg,Large Oval Fish,68
Foureye Butterflyfish,Chaetodon capistratus,https://reefguide.org/pix/thumb2/foureyebutterflyfish10.jpg,Large Oval Fish,69
Foureye Butterflyfish,Chaetodon capistratus,https://reefguide.org/pix/thumb2/foureyebutterflyfish12.jpg,Large Oval Fish,70
Foureye Butterflyfish,Chaetodon capistratus,https://reefguide.org/pix/thumb2/foureyebutterflyfish11.jpg,Large Oval Fish,71
Foureye Butterflyfish,Chaetodon capistratus,https://reefguide.org/pix/thumb2/foureyebutterflyfish14.jpg,Large Oval Fish,72
Spotfin Butterflyfish,Chaetodon ocellatus,https://reefguide.org/pix/thumb2/spotfinbutter2.jpg,Large Oval Fish,73
Spotfin Butterflyfish,Chaetodon ocellatus,https://reefguide.org/pix/thumb2/spotfinbutter1.jpg,Large Oval Fish,74
Spotfin Butterflyfish,Chaetodon ocellatus,https://reefguide.org/pix/thumb2/spotfinbutter7.jpg,Large Oval Fish,75
Spotfin Butterflyfish,Chaetodon ocellatus,https://reefguide.org/pix/thumb2/spotfinbutter6.jpg,Large Oval Fish,76
Spotfin Butterflyfish,Chaetodon ocellatus,https://reefguide.org/pix/thumb2/spotfinbutter3.jpg,Large Oval Fish,77
Spotfin Butterflyfish,Chaetodon ocellatus,https://reefguide.org/pix/thumb2/spotfinbutter4.jpg,Large Oval Fish,78
Spotfin Butterflyfish,Chaetodon ocellatus,https://reefguide.org/pix/thumb2/spotfinbutter5.jpg,Large Oval Fish,79
Reef Butterflyfish,Chaetodon sedentarius,https://reefguide.org/pix/thumb2/reefbutterflyfish4.jpg,Large Oval Fish,80
Reef Butterflyfish,Chaetodon sedentarius,https://reefguide.org/pix/thumb2/reefbutterflyfish1.jpg,Large Oval Fish,81
Reef Butterflyfish,Chaetodon sedentarius,https://reefguide.org/pix/thumb2/reefbutterflyfish2.jpg,Large Oval Fish,82
Reef Butterflyfish,Chaetodon sedentarius,https://reefguide.org/pix/thumb2/reefbutterflyfish3.jpg,Large Oval Fish,83
Vagabond Butterflyfish,Chaetodon vagabundus,https://reefguide.org/pix/thumb2/vagabondbutterflyfish1.jpg,Large Oval Fish,84
Vagabond Butterflyfish,Chaetodon vagabundus,https://reefguide.org/pix/thumb2/vagabondbutterflyfish2.jpg,Large Oval Fish,85
Vagabond Butterflyfish,Chaetodon vagabundus,https://reefguide.org/pix/thumb2/vagabondbutterflyfish3.jpg,Large Oval Fish,86
Atoll Butterflyfish,Chaetodon mertensii,https://reefguide.org/pix/atollbutterflyfish1.jpg,Large Oval Fish,87
Crosshatch Butterflyfish,Chaetodon xanthurus,https://reefguide.org/pix/crosshatchbutterflyfish1.jpg,Large Oval Fish,88
Chevroned Butterflyfish,Chaetodon trifascialis,https://reefguide.org/pix/thumb2/chevronedbutterflyfish1.jpg,Large Oval Fish,89
Chevroned Butterflyfish,Chaetodon trifascialis,https://reefguide.org/pix/thumb2/chevronedbutterflyfish2.jpg,Large Oval Fish,90
Saddled Butterflyfish,Chaetodon ephippium,https://reefguide.org/pix/thumb2/saddledbutterflyfish1.jpg,Large Oval Fish,91
Saddled Butterflyfish,Chaetodon ephippium,https://reefguide.org/pix/thumb2/saddledbutterflyfish2.jpg,Large Oval Fish,92
Saddled Butterflyfish,Chaetodon ephippium,https://reefguide.org/pix/thumb2/saddledbutterflyfish3.jpg,Large Oval Fish,93
Saddled Butterflyfish,Chaetodon ephippium,https://reefguide.org/pix/thumb2/saddledbutterflyfish4.jpg,Large Oval Fish,94
Saddled Butterflyfish,Chaetodon ephippium,https://reefguide.org/pix/thumb2/saddledbutterflyfish5.jpg,Large Oval Fish,95
Saddled Butterflyfish,Chaetodon ephippium,https://reefguide.org/pix/thumb2/saddledbutterflyfish6.jpg,Large Oval Fish,96
Ornate Butterflyfish,Chaetodon ornatissimus,https://reefguide.org/pix/thumb2/ornatebutterfly4.jpg,Large Oval Fish,97
Ornate Butterflyfish,Chaetodon ornatissimus,https://reefguide.org/pix/thumb2/ornatebutterfly1.jpg,Large Oval Fish,98
Ornate Butterflyfish,Chaetodon ornatissimus,https://reefguide.org/pix/thumb2/ornatebutterfly2.jpg,Large Oval Fish,99
Ornate Butterflyfish,Chaetodon ornatissimus,https://reefguide.org/pix/thumb2/ornatebutterfly3.jpg,Large Oval Fish,100
Spot-Banded Butterflyfish,Chaetodon punctatofasciatus,https://reefguide.org/pix/thumb2/spotbandedbutterflyfish1.jpg,Large Oval Fish,101
Spot-Banded Butterflyfish,Chaetodon punctatofasciatus,https://reefguide.org/pix/thumb2/spotbandedbutterflyfish2.jpg,Large Oval Fish,102
Eastern Triangular Butterflyfish,Chaetodon baronessa,https://reefguide.org/pix/chaetodonbaronessa1.jpg,Large Oval Fish,103
Redfin Butterflyfish,Chaetodon lunulatus,https://reefguide.org/pix/thumb2/redfinbutterfly2.jpg,Large Oval Fish,104
Redfin Butterflyfish,Chaetodon lunulatus,https://reefguide.org/pix/thumb2/redfinbutterfly1.jpg,Large Oval Fish,105
Redfin Butterflyfish,Chaetodon lunulatus,https://reefguide.org/pix/thumb2/redfinbutterfly3.jpg,Large Oval Fish,106
Fourspot Butterflyfish,Chaetodon quadrimaculatus,https://reefguide.org/pix/thumb2/fourspotbutterflyfish1.jpg,Large Oval Fish,107
Fourspot Butterflyfish,Chaetodon quadrimaculatus,https://reefguide.org/pix/thumb2/fourspotbutterflyfish3.jpg,Large Oval Fish,108
Fourspot Butterflyfish,Chaetodon quadrimaculatus,https://reefguide.org/pix/thumb2/fourspotbutterflyfish2.jpg,Large Oval Fish,109
Fourspot Butterflyfish,Chaetodon quadrimaculatus,https://reefguide.org/pix/thumb2/fourspotbutterflyfish4.jpg,Large Oval Fish,110
Speckled Butterflyfish,Chaetodon citrinellus,https://reefguide.org/pix/speckledbutterflyfish1.jpg,Large Oval Fish,111
Meyer's Butterflyfish,Chaetodon meyeri,https://reefguide.org/pix/chaetodonmeyeri1.jpg,Large Oval Fish,112
Dot-Dash Butterflyfish,Chaetodon pelewensis,https://reefguide.org/pix/chaetodonpelewensis1.jpg,Large Oval Fish,113
Multiband Butterflyfish,Chaetodon multicinctus,https://reefguide.org/pix/thumb2/multibandbutterflyfish5.jpg,Large Oval Fish,114
Multiband Butterflyfish,Chaetodon multicinctus,https://reefguide.org/pix/thumb2/multibandbutterflyfish1.jpg,Large Oval Fish,115
Multiband Butterflyfish,Chaetodon multicinctus,https://reefguide.org/pix/thumb2/multibandbutterflyfish6.jpg,Large Oval Fish,116
Multiband Butterflyfish,Chaetodon multicinctus,https://reefguide.org/pix/thumb2/multibandbutterflyfish2.jpg,Large Oval Fish,117
Multiband Butterflyfish,Chaetodon multicinctus,https://reefguide.org/pix/thumb2/multibandbutterflyfish3.jpg,Large Oval Fish,118
Multiband Butterflyfish,Chaetodon multicinctus,https://reefguide.org/pix/thumb2/multibandbutterflyfish4.jpg,Large Oval Fish,119
Milletseed Butterflyfish,Chaetodon miliaris,https://reefguide.org/pix/thumb2/milletseedbutterflyfish1.jpg,Large Oval Fish,120
Milletseed Butterflyfish,Chaetodon miliaris,https://reefguide.org/pix/thumb2/milletseedbutterflyfish2.jpg,Large Oval Fish,121
Raccoon Butterflyfish,Chaetodon lunula,https://reefguide.org/pix/thumb2/raccoonbutterflyfish7.jpg,Large Oval Fish,122
Raccoon Butterflyfish,Chaetodon lunula,https://reefguide.org/pix/thumb2/raccoonbutterflyfish4.jpg,Large Oval Fish,123
Raccoon Butterflyfish,Chaetodon lunula,https://reefguide.org/pix/thumb2/raccoonbutterflyfish1.jpg,Large Oval Fish,124
Raccoon Butterflyfish,Chaetodon lunula,https://reefguide.org/pix/thumb2/raccoonbutterflyfish6.jpg,Large Oval Fish,125
Raccoon Butterflyfish,Chaetodon lunula,https://reefguide.org/pix/thumb2/raccoonbutterflyfish3.jpg,Large Oval Fish,126
Raccoon Butterflyfish,Chaetodon lunula,https://reefguide.org/pix/thumb2/raccoonbutterflyfish5.jpg,Large Oval Fish,127
Raccoon Butterflyfish,Chaetodon lunula,https://reefguide.org/pix/thumb2/raccoonbutterflyfish2.jpg,Large Oval Fish,128
Pacific Double-Saddle Butterflyfish,Chaetodon ulietensis,https://reefguide.org/pix/thumb2/chaetodonulietensis1.jpg,Large Oval Fish,129
Pacific Double-Saddle Butterflyfish,Chaetodon ulietensis,https://reefguide.org/pix/thumb2/chaetodonulietensis2.jpg,Large Oval Fish,130
Panda Butterflyfish,Chaetodon adiergastos,https://reefguide.org/pix/pandabutterflyfish1.jpg,Large Oval Fish,131
Black-Backed Butterflyfish,Chaetodon melannotus,https://reefguide.org/pix/thumb2/blackbackedbutterflyfish1.jpg,Large Oval Fish,132
Black-Backed Butterflyfish,Chaetodon melannotus,https://reefguide.org/pix/thumb2/blackbackedbutterflyfish2.jpg,Large Oval Fish,133
Blue-Spot Butterflyfish,Chaetodon plebeius,https://reefguide.org/pix/thumb2/chaetodonplebeius1.jpg,Large Oval Fish,134
Blue-Spot Butterflyfish,Chaetodon plebeius,https://reefguide.org/pix/thumb2/chaetodonplebeius2.jpg,Large Oval Fish,135
Dotted butterflyfish,Chaetodon semeion,https://reefguide.org/pix/dottedbutterflyfish1.jpg,Large Oval Fish,136
Eclipse Butterflyfish,Chaetodon bennetti,https://reefguide.org/pix/thumb2/eclipsebutterflyfish3.jpg,Large Oval Fish,137
Eclipse Butterflyfish,Chaetodon bennetti,https://reefguide.org/pix/thumb2/eclipsebutterflyfish2.jpg,Large Oval Fish,138
Eclipse Butterflyfish,Chaetodon bennetti,https://reefguide.org/pix/thumb2/eclipsebutterflyfish1.jpg,Large Oval Fish,139
Eclipse Butterflyfish,Chaetodon bennetti,https://reefguide.org/pix/thumb2/eclipsebutterflyfish4.jpg,Large Oval Fish,140
Ovalspot Butterflyfish,Chaetodon speculum,https://reefguide.org/pix/chaetodonspeculum1.jpg,Large Oval Fish,141
Teardrop Butterflyfish,Chaetodon unimaculatus,https://reefguide.org/pix/thumb2/teardropbutterflyfish1.jpg,Large Oval Fish,142
Teardrop Butterflyfish,Chaetodon unimaculatus,https://reefguide.org/pix/thumb2/teardropbutterflyfish2.jpg,Large Oval Fish,143
Teardrop Butterflyfish,Chaetodon unimaculatus,https://reefguide.org/pix/thumb2/teardropbutterflyfish3.jpg,Large Oval Fish,144
Spot-Nape Butterflyfish,Chaetodon oxycephalus,https://reefguide.org/pix/spotnapebutterflyfish1.jpg,Large Oval Fish,145
Latticed Butterflyfish,Chaetodon rafflesii,https://reefguide.org/pix/thumb2/latticedbutterflyfish1.jpg,Large Oval Fish,146
Latticed Butterflyfish,Chaetodon rafflesii,https://reefguide.org/pix/thumb2/latticedbutterflyfish2.jpg,Large Oval Fish,147
Eight-Banded Butterflyfish,Chaetodon octofasciatus,https://reefguide.org/pix/thumb2/eightbandedbutterflyfish1.jpg,Large Oval Fish,148
Eight-Banded Butterflyfish,Chaetodon octofasciatus,https://reefguide.org/pix/thumb2/eightbandedbutterflyfish2.jpg,Large Oval Fish,149
Eight-Banded Butterflyfish,Chaetodon octofasciatus,https://reefguide.org/pix/thumb2/eightbandedbutterflyfish3.jpg,Large Oval Fish,150
Eight-Banded Butterflyfish,Chaetodon octofasciatus,https://reefguide.org/pix/thumb2/eightbandedbutterflyfish4.jpg,Large Oval Fish,151
Blacklip Butterflyfish,Chaetodon kleinii,https://reefguide.org/pix/thumb2/blacklipbutterflyfish1.jpg,Large Oval Fish,152
Blacklip Butterflyfish,Chaetodon kleinii,https://reefguide.org/pix/thumb2/blacklipbutterflyfish2.jpg,Large Oval Fish,153
Blacklip Butterflyfish,Chaetodon kleinii,https://reefguide.org/pix/thumb2/blacklipbutterflyfish3.jpg,Large Oval Fish,154
Blacklip Butterflyfish,Chaetodon kleinii,https://reefguide.org/pix/thumb2/blacklipbutterflyfish4.jpg,Large Oval Fish,155
Blacklip Butterflyfish,Chaetodon kleinii,https://reefguide.org/pix/thumb2/blacklipbutterflyfish5.jpg,Large Oval Fish,156
Blacklip Butterflyfish,Chaetodon kleinii,https://reefguide.org/pix/thumb2/blacklipbutterflyfish6.jpg,Large Oval Fish,157
Blacklip Butterflyfish,Chaetodon kleinii,https://reefguide.org/pix/thumb2/blacklipbutterflyfish7.jpg,Large Oval Fish,158
Blacklip Butterflyfish,Chaetodon kleinii,https://reefguide.org/pix/thumb2/blacklipbutterflyfish8.jpg,Large Oval Fish,159
Blacklip Butterflyfish,Chaetodon kleinii,https://reefguide.org/pix/thumb2/blacklipbutterflyfish9.jpg,Large Oval Fish,160
Reticulated Butterflyfish,Chaetodon reticulatus,https://reefguide.org/pix/thumb2/reticulatedbutterflyfish3.jpg,Large Oval Fish,161
Reticulated Butterflyfish,Chaetodon reticulatus,https://reefguide.org/pix/thumb2/reticulatedbutterflyfish1.jpg,Large Oval Fish,162
Reticulated Butterflyfish,Chaetodon reticulatus,https://reefguide.org/pix/thumb2/reticulatedbutterflyfish2.jpg,Large Oval Fish,163
Threadfin Butterflyfish,Chaetodon auriga,https://reefguide.org/pix/threadfinbutterfly1.jpg,Large Oval Fish,164
Bluestripe Butterflyfish,Chaetodon fremblii,https://reefguide.org/pix/thumb2/bluestripebutterflyfish1.jpg,Large Oval Fish,165
Bluestripe Butterflyfish,Chaetodon fremblii,https://reefguide.org/pix/thumb2/bluestripebutterflyfish2.jpg,Large Oval Fish,166
Threebanded Butterflyfish,Chaetodon humeralis,https://reefguide.org/pix/chaetodonhumeralis1.jpg,Large Oval Fish,167
Pyramid Butterflyfish,Hemitaurichthys polylepis,https://reefguide.org/pix/thumb2/pyramidbutterflyfish4.jpg,Large Oval Fish,168
Pyramid Butterflyfish,Hemitaurichthys polylepis,https://reefguide.org/pix/thumb2/pyramidbutterflyfish7.jpg,Large Oval Fish,169
Pyramid Butterflyfish,Hemitaurichthys polylepis,https://reefguide.org/pix/thumb2/pyramidbutterflyfish1.jpg,Large Oval Fish,170
Pyramid Butterflyfish,Hemitaurichthys polylepis,https://reefguide.org/pix/thumb2/pyramidbutterflyfish2.jpg,Large Oval Fish,171
Pyramid Butterflyfish,Hemitaurichthys polylepis,https://reefguide.org/pix/thumb2/pyramidbutterflyfish3.jpg,Large Oval Fish,172
Pyramid Butterflyfish,Hemitaurichthys polylepis,https://reefguide.org/pix/thumb2/pyramidbutterflyfish5.jpg,Large Oval Fish,173
Pyramid Butterflyfish,Hemitaurichthys polylepis,https://reefguide.org/pix/thumb2/pyramidbutterflyfish6.jpg,Large Oval Fish,174
Pyramid Butterflyfish,Hemitaurichthys polylepis,https://reefguide.org/pix/thumb2/pyramidbutterflyfish8.jpg,Large Oval Fish,175
Pyramid Butterflyfish,Hemitaurichthys polylepis,https://reefguide.org/pix/thumb2/pyramidbutterflyfish9.jpg,Large Oval Fish,176
Pyramid Butterflyfish,Hemitaurichthys polylepis,https://reefguide.org/pix/thumb2/pyramidbutterflyfish10.jpg,Large Oval Fish,177
Blacknosed Butterflyfish,Johnrandallia nigrirostris,https://reefguide.org/pix/thumb2/johnrandallianigrirostris1.jpg,Large Oval Fish,178
Blacknosed Butterflyfish,Johnrandallia nigrirostris,https://reefguide.org/pix/thumb2/johnrandallianigrirostris2.jpg,Large Oval Fish,179
Blacknosed Butterflyfish,Johnrandallia nigrirostris,https://reefguide.org/pix/thumb2/johnrandallianigrirostris3.jpg,Large Oval Fish,180
Blacknosed Butterflyfish,Johnrandallia nigrirostris,https://reefguide.org/pix/thumb2/johnrandallianigrirostris4.jpg,Large Oval Fish,181
Longfin Damselfish,Stegastes diencaeus,https://reefguide.org/pix/thumb2/longfindamselfish1.jpg,Small Oval Fish,182
Longfin Damselfish,Stegastes diencaeus,https://reefguide.org/pix/thumb2/longfindamselfish3.jpg,Small Oval Fish,183
Longfin Damselfish,Stegastes diencaeus,https://reefguide.org/pix/thumb2/longfindamselfish2.jpg,Small Oval Fish,184
Longfin Damselfish,Stegastes diencaeus,https://reefguide.org/pix/thumb2/longfindamselfish4.jpg,Small Oval Fish,185
Longfin Damselfish,Stegastes diencaeus,https://reefguide.org/pix/thumb2/longfindamselfish5.jpg,Small Oval Fish,186
Longfin Damselfish,Stegastes diencaeus,https://reefguide.org/pix/thumb2/longfindamselfish6.jpg,Small Oval Fish,187
Longfin Damselfish,Stegastes diencaeus,https://reefguide.org/pix/thumb2/longfindamselfish7.jpg,Small Oval Fish,188
Longfin Damselfish,Stegastes diencaeus,https://reefguide.org/pix/thumb2/longfindamselfish8.jpg,Small Oval Fish,189
Dusky Damselfish,Stegastes adustus,https://reefguide.org/pix/thumb2/duskydamsel1.jpg,Small Oval Fish,190
Dusky Damselfish,Stegastes adustus,https://reefguide.org/pix/thumb2/duskydamsel2.jpg,Small Oval Fish,191
Dusky Damselfish,Stegastes adustus,https://reefguide.org/pix/thumb2/duskydamsel3.jpg,Small Oval Fish,192
Dusky Damselfish,Stegastes adustus,https://reefguide.org/pix/thumb2/duskydamsel4.jpg,Small Oval Fish,193
Hawaiian Gregory,Stegastes marginatus,https://reefguide.org/pix/thumb2/hawaiiangregory3.jpg,Small Oval Fish,194
Hawaiian Gregory,Stegastes marginatus,https://reefguide.org/pix/thumb2/hawaiiangregory2.jpg,Small Oval Fish,195
Hawaiian Gregory,Stegastes marginatus,https://reefguide.org/pix/thumb2/hawaiiangregory1.jpg,Small Oval Fish,196
Cocoa Damselfish,Stegastes variabilis,https://reefguide.org/pix/thumb2/cocoadamselfish4.jpg,Small Oval Fish,197
Cocoa Damselfish,Stegastes variabilis,https://reefguide.org/pix/thumb2/cocoadamselfish3.jpg,Small Oval Fish,198
Cocoa Damselfish,Stegastes variabilis,https://reefguide.org/pix/thumb2/cocoadamselfish2.jpg,Small Oval Fish,199
Cocoa Damselfish,Stegastes variabilis,https://reefguide.org/pix/thumb2/cocoadamselfish1.jpg,Small Oval Fish,200
Beaugregory,Stegastes leucostictus,https://reefguide.org/pix/thumb2/beaugregory4.jpg,Small Oval Fish,201
Beaugregory,Stegastes leucostictus,https://reefguide.org/pix/thumb2/beaugregory3.jpg,Small Oval Fish,202
Beaugregory,Stegastes leucostictus,https://reefguide.org/pix/thumb2/beaugregory2.jpg,Small Oval Fish,203
Beaugregory,Stegastes leucostictus,https://reefguide.org/pix/thumb2/beaugregory1.jpg,Small Oval Fish,204
Beaugregory,Stegastes leucostictus,https://reefguide.org/pix/thumb2/beaugregory5.jpg,Small Oval Fish,205
Bicolor Damselfish,Stegastes partitus,https://reefguide.org/pix/thumb2/bicolordamsel8.jpg,Small Oval Fish,206
Bicolor Damselfish,Stegastes partitus,https://reefguide.org/pix/thumb2/bicolordamsel5.jpg,Small Oval Fish,207
Bicolor Damselfish,Stegastes partitus,https://reefguide.org/pix/thumb2/bicolordamsel3.jpg,Small Oval Fish,208
Bicolor Damselfish,Stegastes partitus,https://reefguide.org/pix/thumb2/bicolordamsel9.jpg,Small Oval Fish,209
